Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
3/20/2020,2.162,2.241,2.12,2.168,0.0095,2.1905,194,1429
3/19/2020,2.1615,2.1995,2.0595,2.1855,0.0395,2.2,242,1613
3/18/2020,2.316,2.3225,2.122,2.1555,0.155,2.1605,205,1777
3/17/2020,2.417,2.417,2.309,2.3135,0.083,2.3155,296,2068
3/16/2020,2.455,2.46,2.364,2.38,0.0755,2.3985,516,2284
3/13/2020,2.455,2.5345,2.43,2.501,0.007,2.474,502,2538
3/12/2020,2.491,2.491,2.439,2.4495,0.031,2.481,575,2638
3/11/2020,2.55,2.55,2.488,2.488,0.022,2.512,386,2861
3/10/2020,2.4985,2.563,2.4985,2.5525,0.01,2.534,408,3061
3/9/2020,2.542,2.542,2.4795,2.4985,0.049,2.524,522,3181
3/6/2020,2.579,2.579,2.5465,2.5685,0.0095,2.573,341,3457
3/5/2020,2.588,2.5935,2.573,2.573,0.0105,2.5825,198,3639
3/4/2020,2.585,2.602,2.577,2.591,0.0135,2.593,231,3823
3/3/2020,2.62,2.63,2.5615,2.5895,0.0215,2.5795,792,4100
3/2/2020,2.536,2.6185,2.5145,2.614,0.055,2.601,729,4429
2/28/2020,2.5575,2.567,2.514,2.5505,0.0255,2.546,2006,5758
2/27/2020,2.5655,2.581,2.522,2.5535,0.001,2.5715,14281,11431
2/26/2020,2.582,2.5825,2.582,2.5825,0.02,2.5765,29,248
2/25/2020,2.5945,2.5945,2.5945,2.5945,0.004,2.5965,140,459
2/24/2020,2.605,2.605,2.5835,2.59,0.0255,2.5925,171,643
2/21/2020,2.5995,2.6145,2.5995,2.6145,0.023,2.618,207,736
2/20/2020,2.5945,2.5945,2.5945,2.5945,0.0175,2.595,126,828
2/19/2020,2.6135,2.6135,2.598,2.598,0.0025,2.6125,43,943
2/18/2020,2.6295,2.63,2.6075,2.6135,0.0045,2.61,154,1153
2/14/2020,2.609,2.6105,2.607,2.607,0.014,2.6055,47,1259
2/13/2020,2.62,2.62,2.62,2.62,0.0135,2.6195,53,1260
2/12/2020,2.607,2.6075,2.6045,2.6065,0.0175,2.606,75,1427
2/11/2020,2.5875,2.5875,2.5875,2.5875,0.031,2.5885,52,1483
2/10/2020,2.551,2.5665,2.551,2.559,0.0015,2.5575,153,1743
2/7/2020,2.561,2.563,2.555,2.56,0.0395,2.559,66,1801
2/6/2020,2.59,2.604,2.59,2.602,0.0195,2.5985,50,1879
2/5/2020,2.5635,2.5915,2.5635,2.5895,0.0315,2.579,68,2063
2/4/2020,2.552,2.5655,2.541,2.5495,0.0345,2.5475,104,2134
2/3/2020,2.523,2.523,2.5085,2.5175,0.007,2.513,598,2389
1/31/2020,2.528,2.53,2.509,2.516,0.0035,2.52,421,2220
1/30/2020,2.564,2.5645,2.5265,2.55,0.0295,2.5235,562,2360
1/29/2020,2.586,2.586,2.56,2.561,0.026,2.5535,53,324
1/28/2020,2.584,2.5915,2.5835,2.5835,0.017,2.5795,165,528
1/27/2020,2.5965,2.5965,2.5965,2.5965,0.089,2.5965,208,776
1/24/2020,2.723,2.723,2.679,2.68,0.0405,2.6855,128,982
1/23/2020,2.758,2.758,2.7185,2.7325,0.041,2.726,83,1107
1/22/2020,2.8005,2.803,2.77,2.77,0.0315,2.767,92,1234
1/21/2020,2.809,2.8135,2.805,2.8065,0.051,2.7985,176,1397
1/17/2020,2.857,2.869,2.851,2.851,0.0025,2.8495,119,1484
1/16/2020,2.8545,2.8875,2.846,2.8555,0.018,2.852,34,1575
1/15/2020,2.861,2.8705,2.8485,2.869,0.006,2.87,74,1700
1/14/2020,2.8575,2.8745,2.8575,2.87,0.0145,2.876,94,1802
1/13/2020,2.862,2.862,2.8555,2.8585,0.043,2.8615,74,1932
1/10/2020,2.81,2.826,2.8015,2.82,0.008,2.8185,190,2135
1/9/2020,2.8255,2.8255,2.801,2.801,0.0085,2.8105,40,2210
1/8/2020,2.787,2.819,2.7805,2.819,0.015,2.819,165,2379
1/7/2020,2.801,2.807,2.801,2.803,0.0035,2.804,63,2571
1/6/2020,2.778,2.7965,2.778,2.7965,0.002,2.8005,116,2734
1/3/2020,2.7935,2.796,2.7895,2.7925,0.0345,2.7985,62,2953
1/2/2020,2.8165,2.8285,2.7945,2.825,0.039,2.833,877,3603
12/31/2019,2.804,2.804,2.798,2.801,0.0335,2.794,191,3742
12/30/2019,2.831,2.8335,2.8145,2.8145,0.002,2.8275,1168,4120
12/27/2019,2.855,2.855,2.82,2.82,0.028,2.8365,156,294
12/26/2019,2.8545,2.867,2.8545,2.867,0.026,2.8645,181,551
12/24/2019,2.82,2.84,2.818,2.825,0.0215,2.8385,163,680
12/23/2019,2.805,2.8235,2.805,2.819,0.006,2.817,420,1006
12/20/2019,2.8315,2.8315,2.803,2.809,0.0205,2.811,338,1182
12/19/2019,2.82,2.831,2.816,2.8265,0.0145,2.8315,201,1379
12/18/2019,2.804,2.819,2.797,2.819,0.0025,2.817,255,1556
12/17/2019,2.8145,2.8225,2.812,2.816,0.001,2.8195,224,1738
12/16/2019,2.7965,2.8205,2.7965,2.807,0.04,2.8205,500,2031
12/13/2019,2.815,2.82,2.762,2.7805,0.009,2.7805,476,2310
12/12/2019,2.784,2.8075,2.7605,2.8025,0.007,2.7895,126,2411
12/11/2019,2.75,2.79,2.749,2.7875,0.027,2.7825,548,2826
12/10/2019,2.75,2.757,2.746,2.7525,0.009,2.7555,395,3141
12/9/2019,2.7165,2.748,2.713,2.7435,0.0355,2.7465,722,3523
12/6/2019,2.6665,2.7365,2.653,2.734,0.0625,2.711,495,3594
12/5/2019,2.6405,2.66,2.6405,2.649,0.0045,2.6485,121,3785
12/4/2019,2.615,2.65,2.6105,2.6435,0.036,2.644,438,4059
12/3/2019,2.6325,2.636,2.605,2.6105,0.0245,2.608,1486,4504
12/2/2019,2.6425,2.658,2.6295,2.6325,0.0095,2.6325,603,4614
11/29/2019,2.6785,2.68,2.634,2.6385,0.0325,2.642,1951,5031
11/27/2019,2.6755,2.6905,2.6645,2.677,0.003,2.6745,23246,14199
11/26/2019,2.646,2.66,2.646,2.66,0.027,2.6745,255,325
11/25/2019,2.6475,2.6475,2.6475,2.6475,,2.6475,36,340
11/22/2019,2.6135,2.649,2.6135,2.649,0.0265,2.6475,89,421
11/21/2019,2.6245,2.6275,2.6205,2.621,0.0255,2.621,162,637
11/20/2019,2.647,2.65,2.647,2.65,0.007,2.6465,121,558
11/19/2019,2.65,2.653,2.6425,2.653,0.036,2.6535,209,590
11/18/2019,2.631,2.631,2.6165,2.6165,0.0175,2.6175,239,842
11/15/2019,2.632,2.634,2.632,2.6335,0.0165,2.635,327,817
11/14/2019,2.622,2.622,2.6175,2.6175,0.018,2.6185,162,983
11/13/2019,2.6325,2.6355,2.63,2.63,0.0055,2.6365,287,1009
11/12/2019,2.65,2.652,2.648,2.652,0.018,2.642,110,1016
11/11/2019,2.675,2.675,2.66,2.66,0.018,2.66,128,945
11/8/2019,2.698,2.698,2.679,2.679,0.046,2.678,46,1016
11/7/2019,2.7185,2.7185,2.7185,2.7185,0.063,2.724,303,1339
11/6/2019,2.67,2.67,2.664,2.664,0.034,2.661,113,1342
11/5/2019,2.6975,2.7085,2.691,2.6975,0.028,2.695,297,1344
11/4/2019,2.6615,2.667,2.6615,2.667,0.016,2.667,218,1304
11/1/2019,2.636,2.656,2.63,2.656,0.018,2.651,571,1840
10/31/2019,2.6565,2.6615,2.625,2.6355,0.0475,2.633,171,2421
10/30/2019,2.685,2.6865,2.675,2.68,0.005,2.6805,386,2554
10/29/2019,2.671,2.671,2.671,2.671,0.01,2.6825,170,362
10/28/2019,2.6725,2.675,2.6715,2.675,0.006,2.6725,239,379
10/25/2019,2.6605,2.6775,2.6605,2.6775,0.0075,2.6665,172,409
10/24/2019,2.667,2.667,2.6555,2.6555,0.0035,2.659,213,428
10/23/2019,2.62,2.6585,2.619,2.6575,0.0405,2.6625,298,499
10/22/2019,2.6315,2.6315,2.6205,2.6275,0.013,2.622,144,518
10/21/2019,2.633,2.6405,2.6265,2.6375,0.01,2.635,195,507
10/18/2019,2.586,2.6265,2.585,2.626,0.038,2.625,185,519
10/17/2019,2.5785,2.6015,2.5785,2.6015,0.0075,2.587,234,564
10/16/2019,2.5765,2.578,2.5765,2.578,0.0245,2.5795,187,634
10/15/2019,2.621,2.621,2.6005,2.6055,0.0195,2.604,92,698
10/14/2019,2.6,2.6225,2.6,2.6225,0.005,2.6235,148,769
10/11/2019,2.6035,2.6225,2.6,2.614,0.0135,2.6185,129,833
10/10/2019,2.546,2.6125,2.546,2.6125,0.043,2.605,206,898
10/9/2019,2.5625,2.5625,2.5585,2.5585,0.0015,2.562,102,963
10/8/2019,2.574,2.574,2.56,2.56,0.0085,2.5635,118,1003
10/7/2019,2.562,2.584,2.562,2.582,0.0165,2.572,313,1056
10/4/2019,2.5325,2.5355,2.5325,2.5355,0.01,2.5555,143,1176
10/3/2019,2.5645,2.57,2.538,2.555,0.016,2.5455,76,1289
10/2/2019,2.5565,2.5615,2.5425,2.5615,0.0095,2.5615,194,1505
10/1/2019,2.55,2.557,2.508,2.557,0.0125,2.552,663,1725
9/30/2019,2.596,2.596,2.56,2.5615,0.0185,2.5645,374,2670
9/27/2019,2.562,2.596,2.562,2.5855,0.0205,2.583,1090,2940
9/26/2019,2.598,2.598,2.5785,2.5785,0.035,2.56,413,356
9/25/2019,2.587,2.5955,2.5755,2.594,0.0055,2.595,334,528
9/24/2019,2.605,2.606,2.5855,2.587,0.005,2.5895,390,582
9/23/2019,2.576,2.5905,2.56,2.5905,0.0045,2.5945,279,593
9/20/2019,2.593,2.6115,2.5695,2.576,0.001,2.59,277,635
9/19/2019,2.59,2.598,2.59,2.593,0.0045,2.591,242,737
9/18/2019,2.595,2.6015,2.58,2.589,0.014,2.5955,202,779
9/17/2019,2.6155,2.617,2.596,2.6085,0.0115,2.6095,369,825
9/16/2019,2.6525,2.656,2.62,2.6225,0.06,2.621,275,976
9/13/2019,2.6265,2.6835,2.6265,2.6775,0.0575,2.681,160,1210
9/12/2019,2.601,2.65,2.578,2.6255,0.026,2.6235,708,1291
9/11/2019,2.6065,2.615,2.588,2.5965,0.013,2.5975,342,1478
9/10/2019,2.607,2.614,2.5915,2.601,,2.6105,312,1815
9/9/2019,2.6135,2.6135,2.602,2.61,0.005,2.6105,340,2023
9/6/2019,2.614,2.6245,2.602,2.613,0.009,2.6155,535,2025
9/5/2019,2.599,2.63,2.5835,2.6145,0.0455,2.6245,544,2277
