DATE,BAMLH0A2HYBEY
3/19/2020,11.51
3/18/2020,10.86
3/17/2020,9.98
3/16/2020,9.76
3/13/2020,8.72
3/12/2020,8.81
3/11/2020,7.92
3/10/2020,7.61
3/9/2020,7.69
3/6/2020,6.63
3/5/2020,6.1
3/4/2020,5.79
3/3/2020,5.95
3/2/2020,6.17
2/29/2020,6.32
2/28/2020,6.13
2/27/2020,5.86
2/26/2020,5.51
2/25/2020,5.42
2/24/2020,5.3
2/21/2020,4.98
2/20/2020,4.99
2/19/2020,4.96
2/18/2020,4.98
2/17/2020,4.99
2/14/2020,4.99
2/13/2020,5.04
2/12/2020,5.07
2/11/2020,5.08
2/10/2020,5.25
2/7/2020,5.26
2/6/2020,5.25
2/5/2020,5.31
2/4/2020,5.38
2/3/2020,5.41
1/31/2020,5.45
1/30/2020,5.38
1/29/2020,5.3
1/28/2020,5.36
1/27/2020,5.49
1/24/2020,5.23
1/23/2020,5.16
1/22/2020,5.06
1/21/2020,5.05
1/20/2020,5.01
1/17/2020,5.02
1/16/2020,5.03
1/15/2020,5.03
1/14/2020,5.06
1/13/2020,5.11
1/10/2020,5.11
1/9/2020,5.14
1/8/2020,5.16
1/7/2020,5.16
1/6/2020,5.17
1/3/2020,5.2
1/2/2020,5.24
12/31/2019,5.28
12/30/2019,5.32
12/27/2019,5.29
12/26/2019,5.3
12/24/2019,5.33
12/23/2019,5.35
12/20/2019,5.33
12/19/2019,5.34
12/18/2019,5.32
12/17/2019,5.39
12/16/2019,5.45
12/13/2019,5.48
12/12/2019,5.57
12/11/2019,5.61
12/10/2019,5.65
12/9/2019,5.69
12/6/2019,5.7
12/5/2019,5.76
12/4/2019,5.77
12/3/2019,5.84
12/2/2019,5.84
11/30/2019,5.8
11/29/2019,5.81
11/27/2019,5.79
11/26/2019,5.81
11/25/2019,5.86
11/22/2019,5.94
11/21/2019,5.99
11/20/2019,5.95
11/19/2019,5.92
11/18/2019,5.91
11/15/2019,5.9
11/14/2019,5.92
11/13/2019,5.95
11/12/2019,5.94
11/11/2019,5.96
11/8/2019,5.96
11/7/2019,5.92
11/6/2019,5.9
11/5/2019,5.89
11/4/2019,5.84
11/1/2019,5.9
10/31/2019,5.94
10/30/2019,5.83
10/29/2019,5.73
10/28/2019,5.72
10/25/2019,5.74
10/24/2019,5.77
10/23/2019,5.79
10/22/2019,5.8
10/21/2019,5.83
10/18/2019,5.79
10/17/2019,5.8
10/16/2019,5.8
10/15/2019,5.85
10/14/2019,5.89
10/11/2019,5.92
10/10/2019,5.99
10/9/2019,5.98
10/8/2019,6.02
10/7/2019,5.95
10/4/2019,5.98
10/3/2019,6.01
10/2/2019,5.93
10/1/2019,5.78
9/30/2019,5.77
9/27/2019,5.93
9/26/2019,5.91
9/25/2019,5.91
9/24/2019,5.78
9/23/2019,5.76
9/20/2019,5.78
9/19/2019,5.75
9/18/2019,5.82
9/17/2019,5.82
9/16/2019,5.84
9/13/2019,5.93
9/12/2019,5.89
9/11/2019,5.91
9/10/2019,5.85
9/9/2019,5.88
9/6/2019,5.89
9/5/2019,5.91
9/4/2019,5.98
9/3/2019,6.01
9/2/2019,5.94
8/31/2019,5.94
8/30/2019,5.84
8/29/2019,5.9
8/28/2019,5.96
8/27/2019,6.01
